################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  5.77e+03 4082.44 |
成功率：99.3%, 提交量大于阈值的概率：0.07286%, 超供率：95.8%, 超供程度：82.8%, 超供平均值：5.6, 方差：99.2
0  5.77e+03 4082.44 | 4082.44    0.0   2886     0 |    1.34   1.28   0.05  -0.50
0  5.77e+04 4146.76 |
成功率：99.9%, 提交量大于阈值的概率：0.05692%, 超供率：96.4%, 超供程度：83.6%, 超供平均值：5.7, 方差：100.9
0  5.77e+04 4146.76 | 4146.76    0.0   2886     0 |    1.36   1.05  -0.00  -0.52
0  1.10e+05 4153.43 |
成功率：99.9%, 提交量大于阈值的概率：0.03363%, 超供率：97.1%, 超供程度：84.9%, 超供平均值：5.7, 方差：102.0
0  1.10e+05 4153.43 | 4153.43    0.0   2886     0 |    1.38   1.04   0.09  -0.52
0  1.62e+05 4156.56 |
成功率：99.9%, 提交量大于阈值的概率：0.02199%, 超供率：98.0%, 超供程度：85.2%, 超供平均值：5.7, 方差：101.5
0  1.62e+05 4156.56 | 4156.56    0.0   2884     0 |    1.39   1.16   0.10  -0.53
0  2.14e+05 4158.84 |
成功率：100.0%, 提交量大于阈值的概率：0.02198%, 超供率：98.9%, 超供程度：85.9%, 超供平均值：5.7, 方差：100.1
0  2.14e+05 4158.84 | 4158.84    0.0   2884     0 |    1.41   1.30  -0.07  -0.54
0  2.65e+05 4158.84 | 4149.68    0.0   2884     0 |    1.41   1.24  -0.04  -0.56
0  3.40e+05 4158.84 | 4151.20    0.0   2884     0 |    1.42   1.35   0.11  -0.58
0  4.21e+05 4158.84 | 4147.64    0.0   2884     0 |    1.42   1.24   0.03  -0.61
0  5.02e+05 4158.84 | 4142.87    0.0   2884     0 |    1.42   1.24  -0.02  -0.63
0  5.83e+05 4158.84 | 4138.83    0.0   2884     0 |    1.42   1.31  -0.07  -0.66
0  6.64e+05 4158.84 | 4130.24    0.0   2884     0 |    1.42   1.23   0.08  -0.69
0  7.44e+05 4158.84 | 4131.57    0.0   2884     0 |    1.42   1.23   0.07  -0.71
0  8.25e+05 4158.84 | 4132.74    0.0   2884     0 |    1.42   1.50   0.04  -0.72
0  9.06e+05 4158.84 | 4131.84    0.0   2884     0 |    1.42   1.47   0.01  -0.75
0  9.87e+05 4158.84 | 4132.79    0.0   2884     0 |    1.42   1.40   0.06  -0.78
0  1.07e+06 4158.84 | 4133.72    0.0   2884     0 |    1.42   1.49  -0.04  -0.78
0  1.15e+06 4158.84 | 4132.84    0.0   2884     0 |    1.43   1.38   0.01  -0.81
0  1.23e+06 4158.84 | 4124.52    0.0   2884     0 |    1.42   1.38   0.05  -0.82
0  1.31e+06 4158.84 | 4138.54    0.0   2884     0 |    1.43   1.31   0.07  -0.83
0  1.39e+06 4158.84 | 4141.27    0.0   2884     0 |    1.43   1.27   0.07  -0.85
0  1.47e+06 4158.84 | 4134.81    0.0   2884     0 |    1.43   1.39   0.04  -0.87
