################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  5.77e+03 3472.91 |
成功率：99.1%, 提交量大于阈值的概率：0.21130%, 超供率：95.7%, 超供程度：83.0%, 超供平均值：5.7, 方差：186.2
0  5.77e+03 3472.91 | 3472.91    0.0   2886     0 |    1.12   0.71   0.04  -0.50
0  6.35e+04 3607.54 |
成功率：99.4%, 提交量大于阈值的概率：0.06631%, 超供率：96.1%, 超供程度：83.4%, 超供平均值：5.7, 方差：179.7
0  6.35e+04 3607.54 | 3607.54    0.0   2884     0 |    1.19   0.45   0.00  -0.53
0  1.21e+05 3632.30 |
成功率：99.5%, 提交量大于阈值的概率：0.02356%, 超供率：97.4%, 超供程度：85.1%, 超供平均值：5.7, 方差：186.9
0  1.21e+05 3632.30 | 3632.30    0.0   2884     0 |    1.21   0.51   0.09  -0.55
0  1.79e+05 3632.30 | 3623.69    0.0   2883     0 |    1.22   0.54   0.11  -0.57
0  2.60e+05 3632.30 | 3625.69    0.0   2884     0 |    1.23   0.59  -0.07  -0.60
0  3.40e+05 3632.30 | 3621.57    0.0   2882     0 |    1.23   0.50   0.10  -0.62
0  4.21e+05 3632.30 | 3624.36    0.0   2882     0 |    1.24   0.52  -0.02  -0.65
0  5.02e+05 3632.30 | 3624.32    0.0   2884     0 |    1.24   0.64  -0.08  -0.68
0  5.83e+05 3632.30 | 3628.51    0.0   2886     0 |    1.24   0.69   0.06  -0.71
0  6.63e+05 3632.30 | 3620.89    0.0   2883     0 |    1.25   0.58   0.11  -0.73
0  7.44e+05 3632.30 | 3619.10    0.0   2883     0 |    1.24   0.69  -0.09  -0.75
0  8.25e+05 3633.37 |
成功率：99.9%, 提交量大于阈值的概率：0.01759%, 超供率：97.6%, 超供程度：88.4%, 超供平均值：5.9, 方差：205.9
0  8.25e+05 3633.37 | 3633.37    0.0   2883     0 |    1.25   0.62  -0.07  -0.76
0  8.83e+05 3633.37 | 3633.20    0.0   2883     0 |    1.24   0.65   0.09  -0.78
0  9.63e+05 3633.37 | 3617.03    0.0   2884     0 |    1.25   0.72   0.03  -0.80
0  1.04e+06 3633.37 | 3632.49    0.0   2883     0 |    1.25   0.77   0.07  -0.82
0  1.12e+06 3633.37 | 3631.90    0.0   2883     0 |    1.25   0.75  -0.07  -0.83
0  1.21e+06 3634.48 |
成功率：100.0%, 提交量大于阈值的概率：0.02051%, 超供率：98.3%, 超供程度：89.7%, 超供平均值：6.0, 方差：213.0
0  1.21e+06 3634.48 | 3634.48    0.0   2883     0 |    1.25   0.61  -0.09  -0.86
0  1.26e+06 3634.48 | 3631.03    0.0   2883     0 |    1.25   0.82   0.12  -0.88
0  1.34e+06 3634.48 | 3631.74    0.0   2883     0 |    1.25   0.76   0.12  -0.91
0  1.42e+06 3634.48 | 3623.23    0.0   2883     0 |    1.25   0.68  -0.03  -0.92
0  1.51e+06 3634.48 | 3631.38    0.0   2883     0 |    1.26   0.62   0.00  -0.93
0  1.59e+06 3634.48 | 3628.96    0.0   2883     0 |    1.25   0.63   0.02  -0.96
0  1.67e+06 3634.48 | 3629.56    0.0   2883     0 |    1.25   0.75  -0.06  -0.98
0  1.75e+06 3634.48 | 3629.71    0.0   2883     0 |    1.26   0.64  -0.00  -0.99
0  1.83e+06 3634.48 | 3633.35    0.0   2883     0 |    1.26   0.66  -0.04  -1.01
0  1.91e+06 3634.48 | 3632.44    0.0   2883     0 |    1.26   0.58  -0.05  -1.03
0  1.99e+06 3634.48 | 3628.85    0.0   2885     0 |    1.26   0.68   0.07  -1.05
0  2.07e+06 3634.48 | 3628.19    0.0   2883     0 |    1.26   0.73  -0.16  -1.07
0  2.15e+06 3634.48 | 3632.34    0.0   2883     0 |    1.26   0.62   0.05  -1.09
0  2.23e+06 3635.50 |
成功率：100.0%, 提交量大于阈值的概率：0.01758%, 超供率：98.2%, 超供程度：89.7%, 超供平均值：6.0, 方差：212.6
0  2.23e+06 3635.50 | 3635.50    0.0   2883     0 |    1.26   0.75   0.07  -1.12
0  2.29e+06 3635.50 | 3628.53    0.0   2882     0 |    1.25   0.60   0.06  -1.12
0  2.37e+06 3635.50 | 3624.63    0.0   2883     0 |    1.25   0.67  -0.01  -1.14
0  2.45e+06 3635.50 | 3632.74    0.0   2883     0 |    1.26   0.71   0.10  -1.15
0  2.53e+06 3635.50 | 3633.21    0.0   2884     0 |    1.26   0.75   0.07  -1.15
0  2.62e+06 3635.50 | 3610.77    0.0   2883     0 |    1.25   0.69   0.02  -1.17
0  2.70e+06 3635.50 | 3618.09    0.0   2883     0 |    1.25   0.71  -0.04  -1.16
0  2.78e+06 3635.50 | 3620.94    0.0   2884     0 |    1.25   0.60  -0.02  -1.16
0  2.86e+06 3635.50 | 3632.25    0.0   2884     0 |    1.26   0.65   0.01  -1.16
0  2.94e+06 3635.50 | 3622.10    0.0   2885     0 |    1.25   0.66   0.00  -1.17
0  3.02e+06 3635.50 | 3623.86    0.0   2884     0 |    1.25   0.63   0.08  -1.17
0  3.10e+06 3635.50 | 3631.86    0.0   2884     0 |    1.26   0.72   0.09  -1.17
0  3.18e+06 3635.50 | 3629.92    0.0   2884     0 |    1.25   0.77   0.16  -1.17
0  3.26e+06 3635.50 | 3620.82    0.0   2883     0 |    1.25   0.77   0.08  -1.16
0  3.35e+06 3635.50 | 3612.85    0.0   2883     0 |    1.25   0.67   0.01  -1.17
0  3.43e+06 3635.50 | 3626.40    0.0   2885     0 |    1.26   0.66  -0.01  -1.16
