request_id,arrive_time,rtl
1e0ab53c-c306-11ec-8a18-085bd662596b,0,8
1e0adc44-c306-11ec-9701-085bd662596b,0,10
1e0adc45-c306-11ec-8d04-085bd662596b,0,6
1e0adc46-c306-11ec-a0ee-085bd662596b,0,10
1e0adc47-c306-11ec-a77a-085bd662596b,0,10
1e0adc48-c306-11ec-b848-085bd662596b,0,2
1e0adc49-c306-11ec-9bca-085bd662596b,0,2
1e0adc4a-c306-11ec-b5cf-085bd662596b,0,4
1e0adc4b-c306-11ec-a111-085bd662596b,0,6
1e0adc4c-c306-11ec-b1d6-085bd662596b,1,4
1e0adc4d-c306-11ec-af47-085bd662596b,1,8
1e0adc4e-c306-11ec-89f9-085bd662596b,1,10
1e0adc4f-c306-11ec-a044-085bd662596b,1,8
1e0adc50-c306-11ec-8666-085bd662596b,1,6
1e0adc51-c306-11ec-86f6-085bd662596b,1,4
1e0adc52-c306-11ec-9348-085bd662596b,1,10
1e0adc53-c306-11ec-a931-085bd662596b,1,4
1e0adc54-c306-11ec-8c84-085bd662596b,1,2
1e0adc55-c306-11ec-8706-085bd662596b,2,10
1e0adc56-c306-11ec-97ca-085bd662596b,2,8
1e0adc57-c306-11ec-ab51-085bd662596b,2,8
1e0adc58-c306-11ec-97e9-085bd662596b,2,2
1e0adc59-c306-11ec-8830-085bd662596b,2,10
1e0adc5a-c306-11ec-849e-085bd662596b,2,6
1e0adc5b-c306-11ec-9ccf-085bd662596b,2,8
1e0adc5c-c306-11ec-a280-085bd662596b,2,2
1e0adc5d-c306-11ec-b1b1-085bd662596b,3,4
1e0adc5e-c306-11ec-95df-085bd662596b,3,10
1e0adc5f-c306-11ec-8046-085bd662596b,3,10
1e0adc60-c306-11ec-885b-085bd662596b,3,10
1e0adc61-c306-11ec-8da6-085bd662596b,3,4
1e0adc62-c306-11ec-953f-085bd662596b,3,10
1e0adc63-c306-11ec-9063-085bd662596b,3,2
1e0adc64-c306-11ec-94b5-085bd662596b,3,2
1e0adc65-c306-11ec-ad43-085bd662596b,4,4
1e0adc66-c306-11ec-ad12-085bd662596b,4,4
1e0adc67-c306-11ec-98d3-085bd662596b,4,2
1e0adc68-c306-11ec-8159-085bd662596b,4,8
1e0adc69-c306-11ec-8fe9-085bd662596b,4,2
1e0adc6a-c306-11ec-8c0a-085bd662596b,4,8
1e0adc6b-c306-11ec-aabe-085bd662596b,4,2
1e0adc6c-c306-11ec-aa83-085bd662596b,4,2
1e0adc6d-c306-11ec-8b84-085bd662596b,5,4
1e0adc6e-c306-11ec-a18b-085bd662596b,5,8
1e0adc6f-c306-11ec-8c1b-085bd662596b,5,2
1e0adc70-c306-11ec-99fd-085bd662596b,5,8
1e0adc71-c306-11ec-958b-085bd662596b,5,6
1e0adc72-c306-11ec-85c5-085bd662596b,5,4
1e0adc73-c306-11ec-869b-085bd662596b,5,8
1e0b0306-c306-11ec-ba3d-085bd662596b,5,6
1e0b0307-c306-11ec-a50b-085bd662596b,6,10
1e0b0308-c306-11ec-9f7e-085bd662596b,6,8
1e0b0309-c306-11ec-b09b-085bd662596b,6,8
1e0b030a-c306-11ec-bd26-085bd662596b,6,6
1e0b030b-c306-11ec-80ae-085bd662596b,6,2
1e0b030c-c306-11ec-81cc-085bd662596b,6,4
1e0b030d-c306-11ec-94bd-085bd662596b,6,4
1e0b030e-c306-11ec-a1f9-085bd662596b,6,8
1e0b030f-c306-11ec-b76a-085bd662596b,7,4
1e0b0310-c306-11ec-ae75-085bd662596b,7,2
1e0b0311-c306-11ec-9517-085bd662596b,7,6
1e0b0312-c306-11ec-a54f-085bd662596b,7,2
1e0b0313-c306-11ec-ab18-085bd662596b,7,10
1e0b0314-c306-11ec-8efd-085bd662596b,7,8
1e0b0315-c306-11ec-8556-085bd662596b,7,8
1e0b0316-c306-11ec-9b83-085bd662596b,7,10
1e0b0317-c306-11ec-a340-085bd662596b,8,10
1e0b0318-c306-11ec-b797-085bd662596b,8,6
1e0b0319-c306-11ec-b71d-085bd662596b,8,10
1e0b031a-c306-11ec-8631-085bd662596b,8,8
1e0b031b-c306-11ec-a616-085bd662596b,8,2
1e0b031c-c306-11ec-a22c-085bd662596b,8,8
